vehicle,category,pool
4673,Vagn,WL5DE
4871,Vagn,S11
4882,Vagn,S5KT
4927,Vagn,S6E
5013,Vagn,WL1
5014,Vagn,WL1
5015,Vagn,WL1
5016,Vagn,WL1
5017,Vagn,WL1
5018,Vagn,WL1
5019,Vagn,WL1
5021,Vagn,WL1
5022,Vagn,WL1
5023,Vagn,WL1
5024,Vagn,WL1
5025,Vagn,WL1
5027,Vagn,WL1
5028,Vagn,WL1
5029,Vagn,WL1
5030,Vagn,WL1
5031,Vagn,WL1
5032,Vagn,WL1
5033,Vagn,WL1
5034,Vagn,WL1
5035,Vagn,WL1
5036,Vagn,WL1
5037,Vagn,WL1
5156,Vagn,S6E
5158,Vagn,S6E
5159,Vagn,S6E
5160,Vagn,S6E
5201,Vagn,B9-P
5202,Vagn,B9-P
5203,Vagn,B9-P
5204,Vagn,B9-P
5205,Vagn,B7C
5206,Vagn,BFS9-P
5207,Vagn,BFS9-P
5208,Vagn,BFS9-P
5209,Vagn,BFS9-P
5210,Vagn,BFS9
5211,Vagn,BFS9
5212,Vagn,BFS9
5213,Vagn,BFS9
5214,Vagn,BFS9F
5215,Vagn,BFS9
5216,Vagn,BFS9
5217,Vagn,BFS9
5218,Vagn,BFS9
5219,Vagn,BFS9
5220,Vagn,BFS9
5221,Vagn,B7C
5222,Vagn,B7C
5223,Vagn,B7C
5224,Vagn,B7C
5225,Vagn,B7C
5226,Vagn,B7C
5227,Vagn,BFS9
5228,Vagn,BFS9
5229,Vagn,BFS9
5230,Vagn,BFS9
5231,Vagn,AB7
5232,Vagn,AB7
5233,Vagn,AB7
5234,Vagn,AB7
5235,Vagn,AB7
5236,Vagn,AB7
5237,Vagn,AB7
5238,Vagn,AB7
5239,Vagn,AB7
5240,Vagn,AB9
5241,Vagn,AB9
5242,Vagn,AB7
5243,Vagn,AB7
5245,Vagn,AB7
5246,Vagn,AB9
5248,Vagn,S1T
5249,Vagn,AB7
5250,Vagn,AB9
5251,Vagn,A7FA
5252,Vagn,A7FA
5253,Vagn,A7FA
5254,Vagn,A7FA
5255,Vagn,A7FA
5256,Vagn,A7FA
5257,Vagn,A7FA
5258,Vagn,A7FA
5259,Vagn,A7FA
5260,Vagn,A7F
5261,Vagn,A7-P
5262,Vagn,A7
5263,Vagn,A7F
5264,Vagn,A7F
5265,Vagn,A7F
5266,Vagn,A7F
5267,Vagn,A7F
5268,Vagn,A7F
5269,Vagn,A7F
5270,Vagn,A7F
5271,Vagn,A7FA
5272,Vagn,A7F
5273,Vagn,A7F
5274,Vagn,A7FA
5275,Vagn,A7F
5276,Vagn,B7B
5277,Vagn,B7B
5278,Vagn,B7B
5279,Vagn,B7B
5280,Vagn,B7B
5281,Vagn,B7B
5282,Vagn,B7B
5283,Vagn,B7B
5284,Vagn,B7B
5285,Vagn,B7B
5286,Vagn,B7B
5287,Vagn,B7B
5288,Vagn,B7B
5289,Vagn,B7B
5290,Vagn,B7B
5291,Vagn,B7B
5292,Vagn,B7B
5293,Vagn,B7B
5294,Vagn,BFS9
5295,Vagn,BFS9
5296,Vagn,BFS9
5297,Vagn,B7C
5298,Vagn,BFS9
5299,Vagn,BFS9
5300,Vagn,BFS9A
5301,Vagn,BFS9
5302,Vagn,BFS9
5303,Vagn,BFS9A
5304,Vagn,BFS9
5305,Vagn,BFS9
5306,Vagn,BFS9
5307,Vagn,B7C
5308,Vagn,B7C
5309,Vagn,B7C
5310,Vagn,B7C
5311,Vagn,B7C
5312,Vagn,B7C
5313,Vagn,B7C
5314,Vagn,B7C
5315,Vagn,B7C
5316,Vagn,B7C
5317,Vagn,B7
5318,Vagn,B9
5319,Vagn,B7C
5320,Vagn,B7C
5321,Vagn,B7
5322,Vagn,B7C
5323,Vagn,B7C
5324,Vagn,B7C
5325,Vagn,B7C
5326,Vagn,B7C
5327,Vagn,B7FA
5328,Vagn,B7FA
5329,Vagn,B7FA
5330,Vagn,B7FA
5331,Vagn,B7FA
5332,Vagn,B7FA
5333,Vagn,B7FA
5334,Vagn,B7FA
5335,Vagn,B9
5336,Vagn,B7C
5337,Vagn,B7C
5338,Vagn,B7FA
5339,Vagn,B7FA
5340,Vagn,B7C
5341,Vagn,B7C
5343,Vagn,B7C
5344,Vagn,B7FA
5345,Vagn,B7
5346,Vagn,B7
5347,Vagn,B7
5348,Vagn,B7
5349,Vagn,B7
5350,Vagn,B7
5351,Vagn,B7
5352,Vagn,B7
5353,Vagn,B7
5354,Vagn,B7
5355,Vagn,B7
5356,Vagn,B7
5357,Vagn,B7
5358,Vagn,B7
5359,Vagn,B7
5360,Vagn,B7
5361,Vagn,B7
5362,Vagn,B7
5363,Vagn,B7
5364,Vagn,B7
5365,Vagn,B7
5366,Vagn,B7
5367,Vagn,B7
5368,Vagn,B7
5369,Vagn,B7
5370,Vagn,B7
5371,Vagn,B7
